date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:54	67727/67727	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:47%20GMT	https://cartzilla.createx.studio/account-orders.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-orders.html	(from https://cartzilla.createx.studio/index.html)
09:21:54	60983/60983	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:47%20GMT	https://cartzilla.createx.studio/account-profile.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-profile.html	(from https://cartzilla.createx.studio/index.html)
09:21:55	63554/63554	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:48%20GMT	https://cartzilla.createx.studio/account-address.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-address.html	(from https://cartzilla.createx.studio/index.html)
09:21:56	64698/64698	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:49%20GMT	https://cartzilla.createx.studio/account-payment.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-payment.html	(from https://cartzilla.createx.studio/index.html)
09:21:56	60547/60547	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:49%20GMT	https://cartzilla.createx.studio/account-wishlist.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-wishlist.html	(from https://cartzilla.createx.studio/index.html)
09:21:57	63468/63468	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:50%20GMT	https://cartzilla.createx.studio/account-tickets.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-tickets.html	(from https://cartzilla.createx.studio/index.html)
09:21:58	62371/62371	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:50%20GMT	https://cartzilla.createx.studio/account-single-ticket.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/account-single-ticket.html	(from https://cartzilla.createx.studio/index.html)
09:21:58	49424/49424	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:51%20GMT	https://cartzilla.createx.studio/dashboard-settings.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/dashboard-settings.html	(from https://cartzilla.createx.studio/index.html)
09:21:59	42038/42038	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:52%20GMT	https://cartzilla.createx.studio/dashboard-purchases.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/dashboard-purchases.html	(from https://cartzilla.createx.studio/index.html)
09:22:00	38180/38180	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2003:21:52%20GMT	https://cartzilla.createx.studio/dashboard-favorites.html	C:/WebSiteCopier/CartZilla/cartzilla.createx.studio/dashboard-favorites.html	(from https://cartzilla.createx.studio/index.html)
